Package,Built
askpass,3.6.1
assertthat,3.6.1
babynames,3.6.2
backports,3.6.0
base64enc,3.6.0
beeswarm,3.6.0
BH,3.6.0
brew,3.6.0
broom,3.6.1
callr,3.6.1
cellranger,3.6.1
cli,3.6.1
clipr,3.6.1
clisymbols,3.6.2
colorspace,3.6.1
commonmark,3.6.2
covr,3.6.2
crayon,3.6.1
crosstalk,3.6.2
curl,3.6.1
DBI,3.6.1
dbplyr,3.6.1
desc,3.6.2
devtools,3.6.2
digest,3.6.1
dplyr,3.6.1
DT,3.6.2
ellipsis,3.6.2
evaluate,3.6.1
fansi,3.6.1
fastmap,3.6.2
feather,3.6.1
forcats,3.6.1
fs,3.6.2
fueleconomy,3.6.2
generics,3.6.1
ggbeeswarm,3.6.1
ggplot2,3.6.1
ggstance,3.6.1
gh,3.6.2
git2r,3.6.2
glue,3.6.1
gtable,3.6.1
haven,3.6.1
here,3.6.2
hexbin,3.6.1
highr,3.6.1
hms,3.6.1
htmltools,3.6.2
htmlwidgets,3.6.2
httpuv,3.6.2
httr,3.6.1
ini,3.6.2
jsonlite,3.6.1
knitr,3.6.1
labeling,3.6.0
Lahman,3.6.2
later,3.6.2
lazyeval,3.6.1
lubridate,3.6.1
lvplot,3.6.1
magrittr,3.6.1
maps,3.6.1
markdown,3.6.1
memoise,3.6.2
mime,3.6.0
modelr,3.6.1
munsell,3.6.1
nasaweather,3.6.0
nycflights13,3.6.1
openssl,3.6.1
pillar,3.6.1
pkgbuild,3.6.2
pkgconfig,3.6.1
pkgload,3.6.2
plogr,3.6.1
plyr,3.6.1
praise,3.6.2
prettyunits,3.6.1
processx,3.6.1
progress,3.6.1
promises,3.6.2
ps,3.6.1
purrr,3.6.2
R6,3.6.1
rcmdcheck,3.6.2
RColorBrewer,3.6.0
Rcpp,3.6.1
readr,3.6.1
readxl,3.6.1
rematch,3.6.1
remotes,3.6.2
reprex,3.6.1
reshape2,3.6.1
rex,3.6.2
rJava,3.6.0
RJDBC,3.6.2
rlang,3.6.2
rmarkdown,3.6.1
roxygen2,3.6.2
rprojroot,3.6.1
rstudioapi,3.6.1
rversions,3.6.2
rvest,3.6.1
scales,3.6.1
selectr,3.6.1
sessioninfo,3.6.2
shiny,3.6.2
sourcetools,3.6.2
stringi,3.6.0
stringr,3.6.1
sys,3.6.1
testthat,3.6.2
tibble,3.6.1
tidyr,3.6.1
tidyselect,3.6.1
tidyverse,3.6.1
tinytex,3.6.1
usethis,3.6.2
utf8,3.6.1
vctrs,3.6.1
vipor,3.6.1
viridisLite,3.6.1
whisker,3.6.1
withr,3.6.1
xfun,3.6.1
xml2,3.6.1
xopen,3.6.2
xtable,3.6.2
yaml,3.6.0
zeallot,3.6.1
translations,3.6.1
